Tanggal,Object_ID,Provinsi,Kasus_Terkonfirmasi_Akumulatif,Penambahan_Harian_Kasus_Terkonf,Kasus_Sembuh_Akumulatif,Penambahan_Harian_Kasus_Sembuh,Kasus_Meninggal_Akumulatif,Penambahan_Harian_Kasus_Meningg,Kasus_Aktif_Akumulatif,CFR_Harian,RI_Harian,FID,ObjectId
2020/03/04 00:00:00+00,101,Papua,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,101,128
2020/03/06 00:00:00+00,161,Sulawesi Utara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,161,129
2020/03/06 00:00:00+00,162,Sumatera Utara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,162,130
2020/03/06 00:00:00+00,163,Sulawesi Tenggara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,163,131
2020/03/06 00:00:00+00,164,Sulawesi Selatan,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,164,132
2020/03/06 00:00:00+00,165,Sulawesi Tengah,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,165,133
2020/03/06 00:00:00+00,166,Lampung,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,166,134
2020/03/06 00:00:00+00,167,Riau,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,167,135
2020/03/06 00:00:00+00,168,Maluku Utara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,168,136
2020/03/06 00:00:00+00,169,Maluku,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,169,137
2020/03/06 00:00:00+00,170,Papua Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,170,138
2020/03/06 00:00:00+00,171,Papua,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,171,139
2020/03/06 00:00:00+00,172,Sulawesi Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,172,140
2020/03/06 00:00:00+00,173,Nusa Tenggara Timur,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,173,141
2020/03/06 00:00:00+00,174,Gorontalo,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,174,142
2020/03/06 00:00:00+00,175,Indonesia,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,175,143
2020/03/07 00:00:00+00,176,Aceh,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,176,144
2020/03/07 00:00:00+00,177,Bali,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,177,145
2020/03/07 00:00:00+00,178,Banten,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,178,146
2020/03/07 00:00:00+00,179,Kepulauan Bangka Belitung,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,179,147
2020/03/07 00:00:00+00,180,Bengkulu,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,180,148
2020/03/07 00:00:00+00,181,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,181,149
2020/03/07 00:00:00+00,182,DKI Jakarta,4,0,0,0,0,0,4,0,0,182,150
2020/03/07 00:00:00+00,183,Jambi,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,183,151
2020/03/07 00:00:00+00,184,Jawa Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,184,152
2020/03/07 00:00:00+00,185,Jawa Tengah,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,185,153
